Tahun,Bulan,Temperatur Rata-rata,Temperatur Maks,Temperatur Min,Curah Hujan,Hari Hujan,LPM
2017,1,24.2,29.1,21,65.3,23,53
2017,2,23,28.3,20.4,199.3,24,40
2017,3,23.3,29.2,20.2,389.3,27,53
2017,4,23.6,28.2,20.7,220.2,27,49
2017,5,23.9,29.5,20.2,222.3,18,62
2017,6,23.4,28.6,20,106.4,17,56
2017,7,23.4,29.2,19.5,39.1,14,69
2017,8,23.3,29.8,18.8,48.4,6,77
2017,9,23.7,30.5,19.4,90.8,12,69
2017,10,23.4,29.8,20.2,345.3,24,56
2017,11,23.1,28.7,20.4,442.2,25,37
2017,12,23.9,29.3,20.7,129.9,20,54
