Tahun,Bulan,Kecepatan Angin Rata-rata (knot),Kecepatan Angin Terbesar (knot)
2018,1,11.1,29.6
2018,2,11.1,29.6
2018,3,9.3,24.1
2018,4,9.3,22.2
2018,5,7.4,22.2
2018,6,7.4,18.5
2018,7,7.4,18.5
2018,8,7.4,22.2
2018,9,9.3,29.6
2018,10,7.4,22.2
2018,11,5.6,22.2
2018,12,5.6,27.8
