Tahun,Bulan,Penguapan (mm),Tekanan udara (mb),Kelembapan Nisbi (%)
2015,1,3.8,924,79
2015,2,3.7,923.8,80
2015,3,4,924.1,79
2015,4,3.4,923.2,81
2015,5,3.1,924.1,77
2015,6,3.4,923.9,74
2015,7,3.6,924.5,70
2015,8,4.3,924.4,66
2015,9,4.8,924.8,64
2015,10,4.8,925.1,63
2015,11,3.9,923.4,79
2015,12,3.9,924.1,82
