Tahun,Bulan,Kecepatan Angin Rata-rata (knot),Kecepatan Angin Terbesar (knot)
2015,1,4,13
2015,2,5,12
2015,3,5,13
2015,4,4,12
2015,5,4,9
2015,6,4,9
2015,7,4,15
2015,8,4,9
2015,9,4,15
2015,10,4,12
2015,11,4,12
2015,12,4,17
