Tahun,Bulan,Penguapan (mm),Tekanan udara (mb),Kelembapan Nisbi (%)
2017,1,3.6,922.3,75
2017,2,3,923.2,81
2017,3,3.5,923.3,80
2017,4,3,923.4,81
2017,5,3.1,923.3,78
2017,6,2.6,923.9,79
2017,7,3.1,924,74
2017,8,3.9,923.6,71
2017,9,3.7,923.9,71
2017,10,3.5,922.8,80
2017,11,3,921.1,82
2017,12,3.9,922,76
