Tahun,Bulan,Temperatur Rata-rata,Temperatur Maks,Temperatur Min,Curah Hujan,Hari Hujan,LPM
2015,1,23.2,28.4,20.3,188,22,54
2015,2,23.1,28.9,20.2,189.1,20,55
2015,3,23.4,28.9,20.2,318.6,28,60
2015,4,23.6,29.1,20.5,285.2,25,49
2015,5,23.4,29.6,19.4,322.4,23,66
2015,6,23.1,29.8,18.6,58.8,26,81
2015,7,23.1,29.8,18.3,0.3,5,85
2015,8,23.6,30.9,18.1,6.9,4,87
2015,9,23.8,31.5,18.3,43.2,4,86
2015,10,24.5,31.9,19.2,37.9,5,80
2015,11,23.9,30.1,20.2,455,24,53
2015,12,23.7,29.3,20.6,311.5,23,48
