Tahun,Bulan,Kecepatan Angin Rata-rata (knot),Kecepatan Angin Terbesar (knot)
2016,1,4,14
2016,2,5,13
2016,3,4,10
2016,4,4,12
2016,5,4,10
2016,6,4,10
2016,7,4,10
2016,8,4,10
2016,9,4,13
2016,10,4,12
2016,11,4,19
2016,12,6,15
