Tahun,Bulan,Temperatur Rata-rata,Temperatur Maks,Temperatur Min,Curah Hujan,Hari Hujan,LPM
2018,1,23.3,30.8,19.4,191,28,35
2018,2,23.6,31.2,19.4,239.3,23,65
2018,3,23.6,31.2,19,292,25,57
2018,4,23.8,32.3,18.2,297.6,23,61
2018,5,23.7,31.4,17.6,123.9,15,72
2018,6,23.7,31,17.8,33.4,15,75
2018,7,22.9,32,15.8,0.3,3,88
2018,8,23.3,31.4,16.2,38.9,7,80
2018,9,23.7,32.8,16.4,40.8,8,76
2018,10,24.2,33.4,18.4,124.8,18,67
2018,11,23.7,33,19,483.2,23,51
2018,12,23.7,31.4,19,323.5,22,42
