Tahun,Bulan,Penguapan (mm),Tekanan udara (mb),Kelembapan Nisbi (%)
2013,1,3.9,923.3,79
2013,2,3.7,922.1,80
2013,3,4.2,923.4,79
2013,4,3.2,922.7,82
2013,5,3.3,922.9,82
2013,6,3.4,922.1,78
2013,7,3.1,923.2,77
2013,8,4.2,923.9,71
2013,9,4.4,923.8,70
2013,10,4.4,924.5,73
2013,11,4,922.5,74
2013,12,3.5,922.5,80
