Tahun,Bulan,Penguapan (mm),Tekanan udara (mb),Kelembapan Nisbi (%)
2016,1,3.9,924.5,81
2016,2,3.1,924.1,80
2016,3,3.2,924.2,83
2016,4,3.1,923.7,84
2016,5,2.8,923.3,83
2016,6,3,924.1,79
2016,7,3.1,923.5,79
2016,8,3.4,922.3,66
2016,9,3.3,923.5,80
2016,10,2.8,923.1,83
2016,11,3.2,923,84
2016,12,3.7,922.1,76
