Tahun,Bulan,Kecepatan Angin Rata-rata (knot),Kecepatan Angin Terbesar (knot)
2017,1,5,19
2017,2,5,16
2017,3,5,12
2017,4,4,15
2017,5,4,10
2017,6,4,10
2017,7,5,10
2017,8,5,8
2017,9,4,8
2017,10,4,13
2017,11,5,16
2017,12,6,16
